start,stop,day,length_minutes,%_of_channel,channel_name,title,subtitle,date,desc_text,category_text,macro_category
2023-09-01 01:30:00+02:00,2023-09-01 02:25:00+02:00,2023-09-01 00:00:00+02:00,55,0.28924533263213253,France 5,Les docs du Mag de la santé,,,,magazine de la santé,magazine
2023-09-01 02:25:00+02:00,2023-09-01 03:15:00+02:00,2023-09-01 00:00:00+02:00,50,0.2629503023928478,France 5,"Mayotte, la mer buissonnière",,,"Mayotte, l'île aux enfants : la moitié de la population a moins de 18 ans. Pauvreté, immigration clandestine, délinquance, la jeunesse se sent abandonnée et isolée. Certains ont décidé de prendre leur destin en main et de faire de l'océan leur meilleur allié.",documentaire société,documentaire
2023-09-01 03:15:00+02:00,2023-09-01 05:00:00+02:00,2023-09-01 00:00:00+02:00,105,0.5521956350249803,France 5,La nuit France 5,,,Magazine de reportages,magazine de reportages,magazine
2023-09-01 05:00:00+02:00,2023-09-01 05:07:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Oggy Oggy,La voleuse d'étoiles,2021,"Saison:1 - Episode:33 - Curieux, Oggy Oggy a toujours hâte de vivre de nouvelles aventures avec ses amis. Sa maladresse le conduit parfois à faire des erreurs, mais ses idées géniales et farfelues gagnent toujours.",série d'animation,divertissement
2023-09-01 05:07:00+02:00,2023-09-01 05:14:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Oggy Oggy,Le club des gommettes,2021,"Saison:1 - Episode:34 - Curieux, Oggy Oggy a toujours hâte de vivre de nouvelles aventures avec ses amis. Sa maladresse le conduit parfois à faire des erreurs, mais ses idées géniales et farfelues gagnent toujours.",série d'animation,divertissement
2023-09-01 05:14:00+02:00,2023-09-01 05:21:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Oggy Oggy,Le spectacle aérien,2022,"Saison:2 - Episode:5 - Curieux, Oggy Oggy a toujours hâte de vivre de nouvelles aventures avec ses amis. Sa maladresse le conduit parfois à faire des erreurs, mais ses idées géniales et farfelues gagnent toujours.",série d'animation,divertissement
2023-09-01 05:21:00+02:00,2023-09-01 05:28:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Oggy Oggy,La course aux courses,2022,"Saison:2 - Episode:6 - Curieux, Oggy Oggy a toujours hâte de vivre de nouvelles aventures avec ses amis. Sa maladresse le conduit parfois à faire des erreurs, mais ses idées géniales et farfelues gagnent toujours.",série d'animation,divertissement
2023-09-01 05:28:00+02:00,2023-09-01 05:34:00+02:00,2023-09-01 00:00:00+02:00,6,0.03155403628714173,France 5,Simon,Sauvez Bernard,2017,"Saison:1 - Episode:42 - Simon a découvert l'endroit où Maman a caché le cadeau d'anniversaire de son petit frère Gaspard. Il a promis de garder le secret mais ne peut s'empêcher de titiller la curiosité de Gaspard, qui comprend que son cadeau est caché dans la maison et le cherche partout. Pour que Gaspard ne trouve pas la cachette, il change le cadeau de place. Maman a une drôle de surprise quand elle s'aperçoit que le cadeau a disparu...",série d'animation,divertissement
2023-09-01 05:34:00+02:00,2023-09-01 05:39:00+02:00,2023-09-01 00:00:00+02:00,5,0.026295030239284777,France 5,Simon,Attention j'arrive,2017,"Saison:1 - Episode:49 - Simon et Gaspard passent le week-end à la campagne chez leurs grands-parents. Dans le potager, comme Simon s'étonne que les tomates soient vertes, Papi lui raconte que ce sont les lutins qui les peignent en rouge pendant la nuit. Les deux petits décident alors de vérifier si les lutins existent réellement mais finissent par s'endormir. Lorsqu'ils se réveillent au petit matin, les tomates sont devenues rouges et il y a un petit pinceau juste à côté…",série d'animation,divertissement
2023-09-01 05:39:00+02:00,2023-09-01 05:50:00+02:00,2023-09-01 00:00:00+02:00,11,0.057849066526426504,France 5,Le village enchanté de Pinocchio,"Pas vu, pas pris",2020,Saison:1 - Episode:52 - Pinocchio se retrouve pris dans un engrenage quand il fait appel à Tracassin : le Nain le sauve avant de le faire chanter pour obtenir toujours plus de lui…,série d'animation,divertissement
2023-09-01 05:50:00+02:00,2023-09-01 06:00:00+02:00,2023-09-01 00:00:00+02:00,10,0.05259006047856955,France 5,Le village enchanté de Pinocchio,Une mission de confiance,2020,"Saison:1 - Episode:1 - Pinocchio vit dans le Village Enchanté avec une joyeuse bande d'amis et ensemble, ils entreprennent les aventures de leurs vies tous les jours. Leurs aventures, désirs et rêves ne sont pas différents de ceux de tous les autres enfants du monde, bien que ce groupe rassemble les enfants de nombreux personnages célèbres de contes de fées, tels que la Belle au Bois Dormant, le Prince Charmant ou le Grand Méchant Loup.",série d'animation,divertissement
2023-09-01 06:00:00+02:00,2023-09-01 06:05:00+02:00,2023-09-01 00:00:00+02:00,5,0.026295030239284777,France 5,T'choupi,T'choupi joue à cache-cache,1999,"Saison:1 - Episode:42 - T'choupi, Doudou, Lalou et Pilou jouent à cache-cache. Lalou repère T'choupi et Pilou très rapidement, mais Doudou reste introuvable...",jeunesse : dessin animé,
2023-09-01 06:05:00+02:00,2023-09-01 06:10:00+02:00,2023-09-01 00:00:00+02:00,5,0.026295030239284777,France 5,T'choupi,Première rentrée,1999,"Saison:1 - Episode:28 - T'choupi est très nerveux pour sa première rentrée scolaire. Il ne peut pas dormir et ne sait pas comment s'habiller. Quand l'heure de partir arrive, il découvre avec angoisse qu'il ne peut pas emmener Doudou avec lui...",jeunesse : dessin animé,
2023-09-01 06:10:00+02:00,2023-09-01 06:17:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,T'choupi et ses amis,Le cache cache géant,2008,"Saison:1 - Episode:14 - T'choupi est un petit garçon très curieux. La maison, l'école, le jardin ou encore les vacances sont les lieux qu'il adore tout particulièrement pour vivre des aventures toutes plus rocambolesques les unes que les autres. Doudou, son ours en peluche, ne le quitte jamais. Ils vivent ensemble toutes les péripéties de la vie quotidienne.",jeunesse : dessin animé,
2023-09-01 06:17:00+02:00,2023-09-01 06:25:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,T'choupi et ses amis,La bataille des polochons,2008,"Saison:1 - Episode:15 - T'choupi est un petit garçon très curieux. La maison, l'école, le jardin ou encore les vacances sont les lieux qu'il adore tout particulièrement pour vivre des aventures toutes plus rocambolesques les unes que les autres. Doudou, son ours en peluche, ne le quitte jamais. Ils vivent ensemble toutes les péripéties de la vie quotidienne.",jeunesse : dessin animé,
2023-09-01 06:25:00+02:00,2023-09-01 06:28:00+02:00,2023-09-01 00:00:00+02:00,3,0.015777018143570864,France 5,Patamuse,Camille le papillon,2020,"Saison:2 - Episode:26 - Une voix, avec l'aide de sa palette magique, invite les petits à l'accompagner pour créer des animaux en pâte à modeler : les Patamuse.",série d'animation,divertissement
2023-09-01 06:28:00+02:00,2023-09-01 06:32:00+02:00,2023-09-01 00:00:00+02:00,4,0.02103602419142782,France 5,Patamuse,Plume la libellule,2023,"Saison:3 - Episode:13 - Une voix, avec l'aide de sa palette magique, invite les petits à l'accompagner pour créer des animaux en pâte à modeler : les Patamuse.",série d'animation,divertissement
2023-09-01 06:32:00+02:00,2023-09-01 06:40:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,Yétili,Interdit aux éléphants,2017,"Saison:2 - Episode:37 - Chaque jour, Nina et Léon, deux petites souris, retrouvent Yétili, la mascotte de la librairie du quartier. Ensemble, ils lisent et voyagent au pays des albums.",série jeunesse,divertissement
2023-09-01 06:40:00+02:00,2023-09-01 06:49:00+02:00,2023-09-01 00:00:00+02:00,9,0.047331054430712595,France 5,Yétili,"C'est à moi, ça",2017,"Saison:2 - Episode:38 - Chaque jour, Nina et Léon, deux petites souris, retrouvent Yétili, la mascotte de la librairie du quartier. Ensemble, ils lisent et voyagent au pays des albums.",série jeunesse,divertissement
2023-09-01 06:49:00+02:00,2023-09-01 07:01:00+02:00,2023-09-01 00:00:00+02:00,12,0.06310807257428346,France 5,Pirata & Capitano,Le chant du narvalophone,2023,"Saison:2 - Episode:36 - Ayant découvert un animal merveilleux, le Narvalophone, dont le chant serait fabuleux mais qui semble avoir un souci, Pirata et notre équipage le suivent pour essayer de l'aider. Plus facile à dire qu'à faire avec un animal aussi grand et aussi sauvage.",série d'animation,divertissement
2023-09-01 07:01:00+02:00,2023-09-01 07:08:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Mumfie,Cocktail royal,2022,"Saison:1 - Episode:63 - Mumfie, le jeune éléphant optimiste, vit de folles aentures avec avec ses amis, Pinky, le cochon volant, et Jelly Bean, la méduse aux couleurs changeantes.",série d'animation,divertissement
2023-09-01 07:08:00+02:00,2023-09-01 07:15:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Mumfie,Les visiteurs,2022,"Saison:1 - Episode:65 - Mumfie, le jeune éléphant optimiste, vit de folles aentures avec avec ses amis, Pinky, le cochon volant, et Jelly Bean, la méduse aux couleurs changeantes.",série d'animation,divertissement
2023-09-01 07:15:00+02:00,2023-09-01 07:23:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,Mumfie,Lulu et Krank,2022,"Saison:1 - Episode:64 - Mumfie, le jeune éléphant optimiste, vit de folles aentures avec avec ses amis, Pinky, le cochon volant, et Jelly Bean, la méduse aux couleurs changeantes.",série d'animation,divertissement
2023-09-01 07:23:00+02:00,2023-09-01 07:35:00+02:00,2023-09-01 00:00:00+02:00,12,0.06310807257428346,France 5,"Oui-Oui, enquêtes au Pays des jouets",L'affaire du nouveau jeu de wizz,2018,"Saison:2 - Episode:38 - Oui-Oui, petit jouet enquêteur, résout des mystères et des énigmes et révèle au grand jour les secrets de Toyland, un monde peuplé de jouets de tailles et de formes différentes.",série d'animation,divertissement
2023-09-01 07:35:00+02:00,2023-09-01 07:46:00+02:00,2023-09-01 00:00:00+02:00,11,0.057849066526426504,France 5,"Oui-Oui, enquêtes au Pays des jouets",L'affaire des joueurs de foot manquants,2018,"Saison:2 - Episode:39 - Oui-Oui, petit jouet enquêteur, résout des mystères et des énigmes et révèle au grand jour les secrets de Toyland, un monde peuplé de jouets de tailles et de formes différentes.",série d'animation,divertissement
2023-09-01 07:46:00+02:00,2023-09-01 07:59:00+02:00,2023-09-01 00:00:00+02:00,13,0.06836707862214042,France 5,"Oui-Oui, enquêtes au Pays des jouets",L'affaire du coffre au trésor des pirates,2018,"Saison:2 - Episode:40 - Oui-Oui, petit jouet enquêteur, résout des mystères et des énigmes et révèle au grand jour les secrets de Toyland, un monde peuplé de jouets de tailles et de formes différentes.",série d'animation,divertissement
2023-09-01 07:59:00+02:00,2023-09-01 08:06:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,Bing,Grandir,2014,"Saison:1 - Episode:13 - Bing pense qu'il est aussi grand que Coco, mais Flop mesure les deux amis et Bing doit se rendre à l'évidence, il est un peu plus petit...",série d'animation,divertissement
2023-09-01 08:06:00+02:00,2023-09-01 08:14:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,Bing,Le pique-nique,2014,"Saison:1 - Episode:20 - Bing et Flop se préparent à pique-niquer dans le parc. Mais au moment où ils se mettent en route, la pluie se met à tomber...",série d'animation,divertissement
2023-09-01 08:14:00+02:00,2023-09-01 08:21:00+02:00,2023-09-01 00:00:00+02:00,7,0.036813042334998686,France 5,"Hé, Oua-Oua",Le badge Miel,2016,"Saison:2 - Episode:10 - Le gros chien Oua-Oua anime le Club des Ecureuils, un centre d'activités extrascolaires. Quand un problème se pose, il accourt avec ses amis, Tag le rhino, Betty la pieuvre, Rouly l'hippopotame, Youpi le crocodile et Nini la souris futée, pour le régler dans la bonne humeur.",série d'animation,divertissement
2023-09-01 08:21:00+02:00,2023-09-01 08:29:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,"Hé, Oua-Oua",Le badge jeu des différences,2022,"Saison:4 - Episode:4 - Le gros chien Oua-Oua anime le Club des Ecureuils, un centre d'activités extrascolaires. Quand un problème se pose, il accourt avec ses amis, Tag le rhino, Betty la pieuvre, Rouly l'hippopotame, Youpi le crocodile et Nini la souris futée, pour le régler dans la bonne humeur.",série d'animation,divertissement
2023-09-01 08:29:00+02:00,2023-09-01 08:32:00+02:00,2023-09-01 00:00:00+02:00,3,0.015777018143570864,France 5,Les comptines de Masha,La ferme de Mathurin,2020,Saison:2 - Episode:10 - Les aventures d'une fillette curieuse et d'un ours très débonnaire. La petite Masha et son ami l'ours partent pour un tour du monde truffé de découvertes.,série d'animation,divertissement
2023-09-01 08:32:00+02:00,2023-09-01 08:38:00+02:00,2023-09-01 00:00:00+02:00,6,0.03155403628714173,France 5,Masha et Michka,Ce n'est qu'un au revoir,2013,Saison:2 - Episode:26 - Masha a bien grandi. Sa soeur Dasha pense qu'il est temps de la ramener à la maison. Michka est bouleversé par cette décision.,série d'animation,divertissement
2023-09-01 08:38:00+02:00,2023-09-01 08:46:00+02:00,2023-09-01 00:00:00+02:00,8,0.04207204838285564,France 5,Masha et Michka,Retour à la maison,2015,Saison:3 - Episode:1 - Les aventures d'une fillette curieuse et d'un ours débonnaire.,série d'animation,divertissement
