Nom,Prénom,Fonction,Média ou organisation
Delotte,François,Journaliste,La Montagne
Delouvrie,Marie Candice,journaliste,france 2
Delouvrié,Marie-Candice,Journaliste,France tv
Delpas,Clara,Journaliste,Freelance
Demars,Annaick,Rédactrice TV/ web,France 3 Limousin
Demarty,Marie-Pierre,Rédactrice,Tikographie
Demay,Christophe,Journaliste,infodiag.fr
Demenus,Ysée,Étudiante en journalisme,École de journalisme de Grenoble
Demesse,Aurélie,Journaliste,La Libre Belgique / freelance
Demey,Gennifer,Présentatrice météo,M6
Demguillem,Muriel,Journaliste honoraire,Ex France Televisions
Demiralp,Özgül,Journaliste,La Mèche
Denanot,Emmanuel,Journaliste,France Televisions
Denans,Matthieu,DIRECTEUR COMMERCIAL,ACTU-ENVIRONNEMENT
Denhez,Frederic,"Auteur, chroniqueur","Marianne, BFM"
Deniaud,Jean-Paul,Co-fondateur,Pioche!
Denoyel,Ariane,Journaliste / Enseignante,EJdG
Deonna,Emmanuel,Journaliste,Indépendant
Deprez,Flavie,Directrice Générale,Carenews
Dert-Chopin,Zoé,Étudiante en journalisme,Centre universitaire d’enseignement du journalisme de Strasbourg
Descamps,Quentin,Journaliste,Libération
Descamps,Olivier,journaliste environnement,
Deschamps,Stéphanie,Journaliste grand reporter,
Descroix,Camille,Journaliste pigiste,"Franceinfo, Vice, Society, Mouv’…."
Desfontaines,Marie-Alexandra,journaliste,
Desprez,Mathieu,Co fondateur,Les Horizons
Destombes,Christelle,Journaliste,AEF Info
Deunf,Catherine,journaliste rédacteur,France Télévisions
Devanda,Natacha,redactrice en chef adjointe,Charlie Hebdo
Dezecot,Julien,JOURNALISTE – DIRECTEUR DE PUBLICATION,SANS TRANSITION ! MAGAZINE
Dezeraud,Pierre,Journaliste,
Di Battista,Nina,Rédactrice en chef adjointe,Fleurus presse
Diallo,Babou,Journaliste,https://farafinanews.com/
Diaz Valderrama,Maria,Correspondante en France pour l’Espagne,Agence EFE
Diebold,Jean-Baptiste,Cofondateur,Ginkio
Diedri,Anderson,Rédacteur en chef,"Eburnie Today, Côte d’Ivoire"
Diego,Christina,Rédactrice en chef,Carenews
Disdero,Éléonore,Journaliste environnement,Pigiste
Dissoubray,Rémy,Journaliste localier,Le Bien Public
Djama,Mahamoud,Journaliste d’investigation,La voix de Djibouti
Do Pio,Alison,Ingénieur travaux,Entreprise DO PIO
Doiezie,Mathilde,journaliste,pigiste
Dolman,Cécile,Journaliste,Pigiste
Dolz,Gaelle-Anne,Journaliste,France Télévisions
Domergue,Lisa,Journaliste,Carenews
Donada,Gilles,journaliste,La Croix
Dorn,Charlotte,Journaliste et enseignante en journalisme,Dernières Nouvelles d’Alsace et Centre Universitaire d’Enseignement du Journalisme
Dorzée,Hugues,Rédacteur en chef,"Imagine Demain le monde (www.imagine-magazine.com) – écologie, société, Nord-Sud. Un bimestriel belge et indépendant qui s’inscrit dans le courant slow press et défend un journalisme critique, vivant et apaisé. Voir notre Manifeste Imagine ici https://www.imagine-magazine.com/notre-projet/"
Dos Santos,Rémi,Journaliste,180 Sports / Canal+ / Sud Radio / L’Equipe
Doucet,Yohan,rédacteur/SR,Charente Libre
Douriez,Benjamin,Journaliste pigiste,"pigiste (Femme actuelle, L’Express, Circuits bio, Reporterre…)"
Douvizy,Sarah,"Journaliste, responsable d’agence","La Montagne et La Gazette, groupe Centre France"
Doux,Marine,Cofondatrice,Médianes
Dramé,Faydy,Chargé de projet,Ouestaf News
Drammeh,Sam,Étudiant journaliste en alternance,"Midi Libre, ESJ"
Drouelle,Léa,Journaliste,Sorocité
Druelle,Julia,journaliste et photo journaliste,pigiste
Du Bois,Stéphanie,Journaliste,Ngroup
Du Saint,Caroline,Réalisatrice / rédactrice en chef,Nova Production
Dubé,Fred,chroniqueur,Journal Le Mouton Noir
Dubesset,Enzo,journaliste,Pigiste
Dublange,Pauline,Étudiante,Aucun
Duchemann,Yvette,Ecologiste,Association politique SEPT : solidarité ecologiste populaire pou nout tèr
Ducrey,Corinne,Présidente / CoFondatrice,"Festival CHEMIN FAISANT, Université du Bien Commun, Collectif « MERCI POUR L’INFO ! »"
Duez,Alain,Président,association l’âge de faire
Dufour,Aurélien,Étudiant en journalisme,École de Journalisme de Cannes
Dufrene,Cécile,Secrétaire de rédaction,Terre Sauvage
Dugast,Stéphane,Rédacteur-en-chef,Embarquements
Duhamel,Samuel,Responsable de bureau,M6
Dumas,Isabelle,Directrice,ISCPA Lyon
Dumas,Siegrid,Présidente,"Sorgi xendera – Pays Basque, le nouveau guide"
Dumeny,Marine,Journaliste,Pigiste
Dumond,Jean-Baptiste,Naturaliste-photographe,faunesauvage.fr
Duperrin,Agnès,chef service santé Notre temps et Secrétaire CSE Bayard,Bayard
Dupin,Marie,Journaliste,France Info
Duplessis,Elisa,Fondatrice,Écoïste
Duplessy,Jacques,Journaliste indépendant,
Dupont-Besnard,Marcus,Journaliste,Numerama
Dupuis,Cyrille,Rédacteur en chef,Quotidien du médecin
Dupuy,Capucine,"Journaliste environnement, scénariste de BD engagées",La Plume Qui Écume
Duquesne,Karma,Journaliste et juriste,
Duquesne,Juliette,journaliste,Carnets d’alerte
Durand,Karine,journaliste spécialiste météo,Futura
Durand-Rodriguez,Emmanuelle,Journaliste,Telmi Studio
Durif,Anne-Lise,Journaliste,Indépendant
Duros,Hélène,Journaliste,Le Télégramme
Dury,Florian,broadcast manager,EUROSPORT
Duval,Antoine,Journaliste indépendant et rédacteur scientifique pour le journal L’Edition de l’Université Paris-Saclay,Indépendant et Université Paris-Saclay
Duvialard,Hélène,professeure-documentaliste,"médias scolaire : Phil Fm, webradio et le presse-papier journal"
Dworianyn,Nina,Journaliste en locale isolée,La République des Pyrénées
Dzuilka,Margaux,Journaliste,
Ecole De Journalisme De Grenoble,Ejdg,,Université Grenoble Alpes / Institut d’Etudes Politiques de Grenoble
École De Journalisme De Lannion,Nan,Cursus de journalisme reconnu,
Edde,Julie,Reporter,Journaliste indépendante
Edin,Vincent,Journaliste,Usbek et Rica
Edwiges,Alix,Journaliste,CAPA Presse
Egasse,Juliette,Étudiante,Rien
Eglin,Patrice,Rédacteur graphiste,Okapi
El Moaddem,Nassira,Journaliste,Arrêt sur images
Enault,Marianne,Rédactrice en cheffe adjointe,Le Journal du Dimanche
Endrizzi,Luca,Journaliste indépendant,
Equy,Laure,journaliste,Libération
Ernault,Sylvain,Journaliste,Splann !
Espargilière,Loup,Journaliste,Vert
Etcheverry,Marc,Rédacteur en chef adjoint,Radio France internationale
Eychenne,Alexia,Journaliste,Indépendante
Eyegue,Sophie,Journaliste,Pigiste
Fabre Soundron,Marina,Rédactrice en chef,Novethic
Faivre,Agnes,Journaliste,Divers
Falque,Noé,UX designer,Spintank
Falzon,Paul,Journaliste,Indépendant
Fanta,Condé,Pigiste,RFI Mandenkan
Fasciaux,Nina,EUROPE MANAGER,SOLUTIONS JOURNALISM NETWORK
Fauchois,Virginie,Journaliste multimédia en formation,Indépendante
Faucompré,Pascal,Rédacteur en chef,Build Green
Faure,Guillaume,Journaliste,Le Dauphiné Libéré
Favre,Aude,Journaliste,Arte / WTFake
Favrot,Lionel,Directeur de la rédaction,Mag2Lyon
Feda,Tony,Rédacteur en chef,L’Echiquier
Feltrin,Loic,Journaliste sportif,Pigiste
Fenouillet,Flore,Journaliste redacteur reporter,France 3 Provence Alpes
Ferard,Emeline,Journaliste,Aucune
Ferber,Alice,Journaliste,L’Obs
Ferbos,Aude,Présidente,Club de la Presse de Bordeaux N-A
Fernandez,Christophe,chef de rubrique Génération,Okapi
Ferrisi,Michael,Fondateur,Ecolosport
Fesquet,Laurence,Journaliste – Secrétaire de rédaction,Ça m’intéresse
Fessler,Rémi,Journaliste secrétaire de rédaction,Le Dauphiné libéré
Feunteun,Véronique,Redactrice photo,Le Parisien Magazine
Feydel,Sandrine,Journaliste,France Télévisions
Fichou,Bertrand,Rédacteur-en-chef,"Youpi et Images Doc, Bayard"
Fierling,Estelle,Etudiante en journalisme,"IUT de Nice, antenne de Cannes"
Figeac,Patrick,President du Media Citoyen en Villeneuvous,MCV
Fillon,Tiffany,Journaliste web et réseaux sociaux,France 24
Finot,Vanessa,Journaliste,France 3 nouvelle Aquitaine
Firh,Thomas,Rédacteur en chef,Les Others
Firh,Thomas,Président et rédacteur-en-chef,Les Others
Fisné-Koch,Audrey,Journaliste,Pour l’Éco
Flabeau,Nina,Fondatrice,GREEN UP
Flament,Aurélien,Journaliste Reporter d’Images,Pigiste – TF1
Flaux,Adèle,Réalisatrice,
Flécher,Guirec,Journaliste,Le Télégramme
Flepp,Augustin,Journaliste,indépendant
Florin,Muriel,Journaliste reporter,Le Progrès
Florin,Jean-Michel,Journaliste Conférencier,Biodynamis et MABD
Florin,Muriel,Reporter,Le progrès
Flouvat,Léni,Journaliste en formation,ESJ Lille
Flury,Laura,Étudiante,?
Fodaro,Irene,Journaliste,Freelance
Foin,Michèle,Fondatrice,COLLECTIF SOLVO
Fontaine,Séverine,Journaliste scientifique,Indépendante
Fontaine,Jean Jacques,Journaliste indépendant,La Liberté – Fribourg – Suisse / Vision Brésil wordpress.com
Fontaine,Lucie,Journaliste en formation,CFJ
Fonters,Anna,Journaliste,ELLE
Forestier,Marine,journaliste,Indépendante
Fortunato,Marie,Journaliste,
Fosse,Julien,Biologiste,
Fosse,Zacharie,Coordinateur,Radio Boomerang
Francés,Hugo,Chef des informations,BFM Lyon
Francois,Pierre-Olivier,Realisateur,Arte et autres
Frank,Cyrille,journaliste/formateur,ESJ Pro
Freres,Sarah,Journaliste,Imagine Demain le monde (Belgique)
Fresko,Jean-Jacques,rédacteur en chef,Infonature.media
Fricot,Pauline,Journaliste,Indépendante
Fromont,Gabrielle,étudiante en journalisme,Académie ESJ Lille
Fuentes,Olivia,Journaliste,Décideurs Magazine
Fulleda,Clémence,Journaliste,France Bleu Occitanie
Gadenne,Adeline,Pigiste,"Rustica, Plantes&Santé, Notre Temps Santé&Bien-être"
Gagnier,Emmanuel,Rédacteur en chef,Premières Lignes Télévision
Gagnon,Anne-Claire,Vétérinaire journaliste pigiste,L’ESsentiel vétérinaire/La Semaine vétérinaire/ Mid&Plus – OneHealthInitiative
Gaillard,Caroline,Journaliste,Midi Libre
Gaillardin,Patrick,Photojournaliste et podcasteur,Collectif Solvo
Gailly,Adeline,Journaliste pigiste,Le Dauphiné Libéré
Galand,Carol,Rédactrice en chef,Mue
Gallé,Jennifer,Journaliste environnement,The Conversation France
Gallet,Stéphanie,Journaliste,RCF
Galluccio,Cécile,Journaliste,France 24
Gamblin,Guillaume,Journaliste,Silence
Garbownik,Pierre,Rédacteur en chef,Les Surdoués / PGA Médias
Gardette,Hervé,Rédacteur en chef,(à titre personnel)
Garot,Blandine,Journaliste,
Garré,Coline,journaliste,quotidien du médecin
Garric,Audrey,Journaliste,Le Monde
Garrigues,Arnaud,Journaliste,La Gazette des communes
Gascoin,Patrice,Journaliste-auteur,France Bleu
Gaspar,Romain,Journaliste,La Gazette des communes
Gasser,Kévin,Journaliste pigiste,
Gaubert,Camille,Journaliste Santé-biologie,Sciences et Avenir
Gault,Florence,Journaliste,indépendante
Gaunet,Aurélien,Chef de projets biodiversité,Groupe Ornithologique du Roussillon
Gauthier,Cécile,journaliste rédactrice,France 3 Nouvelle-Aquitaine
Gautier,Elsa,Journaliste,Pigiste
Gautier Mignot,Odile,Journaliste,Indépendante
Gavalda,Geoffrey,Journaliste,Midi Libre
Gavinet,Elsa,étudiante,École de journalisme de Sciences Po
Gay,Eléonore,"Présentatrice de « Nous, les Européens »",France Télévisions
Gayrard,Cécile-Jeanne,Rédactrice en chef,Hummade
Gazeau-Marchand,Antoine,Rédacteur en chef,BRIEF
Geiselhart,Dan,"Journaliste, cofondateur",Climax
Gélot,Hélène,Rédactrice environnement,Science & Vie Junior
Genet,Cyrille,Journaliste rédacteur,France Télévisions (France 3)
Genicot,Damien,Journaliste,Agence Europe
Geoni,Léon,Journaliste/Photographe pigiste,Freelance
George,Camille,Redactrice en chef,Daf Magazine
Georget,Philippe,Journaliste,France 3 pays catalan
Germain,Isabelle,Directrice de la rédaction,LesNouvellesNews.fr
Geyer,Roman,Reporter vidéo,Neo.tv
Ghemzi,Nadjet,Journaliste et Réalisatrice,
Ghezzani,Francesca,Giornalista,Well Tv
Ghironi,Thibaut,Journaliste,BFM DICI
Giaccone,Loïc,"Journaliste, doctorant","Freelance, Georgetown Environmental Justice Program"
Giacinti Bretagnon,Fanny,Rédactrice en chef,2ACR
Giacometti,Théo,Photographe,Hans Lucas
Gicquel,Marco,Journaliste jeune,Marco Investigation
Gilabert,Christelle,Journaliste,Indépendante
Gilbert,Naïg,Chargée de communication,École Shamengo
Gilbert,Claudine,Grand reporter,France Télévisions
Gimberg,Lucile,Journaliste reporter,RFI
Ginestière,Nicolas,Étudiant en journalisme,Institut Pratique du Journalisme
Ginibrière,Gaëlle,Journaliste,JRP
Giorgi,Charlotte,Autrice et podcasteuse,Motus le média
Girard,Pierre Girard,journaliste et vidéaste scientifique,"ARTE, TousTerriens"
Girard,Mathieu,Journaliste,Côté Caen
Girard-Blanc,Noé,Journaliste,Indépendant
Girardin,Isabelle,journaliste rédactrice,France3
Giraud,Valentin,Journaliste,La Nouvelle République du Centre Ouest
Giraud,Baptiste,journaliste,La Clé des Ondes
Giraud,Marc,Écrivain et chroniqueur radio,"Delachaux et Nestlé, Europe 1"
Gireau,Adèle,Rédactrice,FemininBio
Gloor,Noémi,Journaliste,La porte à côté
Godet,Raphaël,Journaliste,France Info
Goethals,Nancy,Journaliste,Cathobel
Goethals,Nancy,journaliste multimédia,Cathobel
Goldminc,Myriam,Journaliste,Plantes et Santé Echo bio membre desJNE
Golla,Mathilde,Journaliste,Novethic
Gollot,Claire,Secrétaire de rédaction – rédactrice,We Demain
Gomez,Ariel,rédacteur en chef,Smart City Mag
Gonzalez,Romain,Journaliste,Le Point
Gorbatko,Nadia,Journaliste,Actu-Environnement
Gorius,Aurore,Journaliste,LesJours.fr
Goron,Jean-Philippe,Responsable pédagogique,ESJ LILLE
Gouhier,Stéphane,Rédacteur graphiste,Phosphore
Gouin,Simon,Journaliste,Grand-Format (magazine normand en ligne)
Gouin,Jean Michel,journaliste,la nouvelle république
Gouja,Yousra,Journaliste,"Journaliste indépendante (je travaille pour Business Immo, la Lettre de l’Audiovisuel, TRT mais je ne préfère pas vraiment préciser, je signe en mon nom)"
Goujon,Olivier,Journaliste auteur,Indépendant
Goupil,Philippe,Directeur Général,Decisions durables
Gourdin,Florian,Étudiant en deuxieme année de Master à l’institut de journalisme de Bordeaux Aquitaine (IJBA),Institut de journalisme de Bordeaux Aquitaine
Gourillon,Régis,Journaliste et responsable de formations,Université France Télévisions (Université d’entreprise)
Gourmelon,Yves,Journaliste,Ouest-france
Goutany,Helene,Journaliste indépendante,
Gouty,Félix,Journaliste,Actu-Environnement – Cogiterra
Gouville,Willy,Journaliste,France 2
Gouyen,Anne-Sophie,rédactrice en chef,séquences bois
Goyer,Laurane,Journaliste en formation,IUT de Lannion
Gracia,Mathilde,Journaliste,France Info
Grainville,Izïa,Réalisatrice,OPSR Média
Grammont,Stephane,rédacteur en chef,France Télévision – France 3
Granja,Christelle,Journaliste,"Libération, Socialter, U&Rica"
Gratian,Paul,Journaliste,Ouest-France.fr
Graveleau,Severin,Journaliste,Le Monde
Graziani,Solange,Journaliste,France 3 Corse Via Stella
Grépinet,Esteban,Étudiant et pigiste,
Gressier,Louise,Journaliste,Tony Comiti Productions
Grieco,Olivier,Direction d’antenne,Cause Commune – Paris 93.1FM
Grignon,Marie-Emmanuelle,Journaliste,Eco-Bretons
Grinda,Benjamin,rédacteur,La Marseillaise
Gringoire,Jean-François,rédacteur en chef,Francetélévisions
Groison,David,redacteur en chef,phosphore et we demain 100% ado
Gros,Jean,Journaliste,VertBleuJaunemédia
Grosjean,Stéphanie,Journaliste freelance,Podcast L’Instant Papillon
Groult,Charles Henry,Journaliste,
Gruber,Françoise,Journaliste,Indépendante
Guedj,Léa,Journaliste pigiste,"Reporterre, Blast, Radiofrance, Radio Nova…"
Guégan,Yann,Journaliste,Contexte
Guelff,Pierre,Journaliste-Chroniqueur,Fréquence Terre et Morale Laïque Magazine
Guelff,Pierre,Journaliste-Chroniqueur,Fréquence Terre-Morale Laïque Magazine
Guenee,Pascal,Président,Conférence des écoles de journalisme (CEJ)
Guénée,Pascal,Membre du Conseil Exécutif,Conseil Mondial des Ecoles de Journalisme (WJEC)
Guénée,Pascal,Directeur,Institut Pratique du Journalisme de l’Université Paris Dauphine-PSL (IPJ)
Guerineau De Lamérie,Nina,Journaliste pigiste,Libération (entre autres)
Guérou,Claire,Journaliste scientifique pigiste,Fleurus Presse et Disney Magazines
Guerre,Clement,Journaliste,RCF Bordeaux
Guibert,Pauline,Alternante,Capital (prisma média)
Guichardon,Laurent,Photographe,Indépendant
Guichet,Lucile,Journaliste,France Télévision pôle Polynésie
Guignard,Florent,Directeur du journal Le Drenche,Le Drenche
Guilbert,Thomas,Secrétaire général de rédaction,Publihebdos
Guillard,Clara,Journaliste,AFP
Guillas,Nicolas,Journaliste,Indépendant
Guillemain D’echon,Emmanuel,Journaliste,Pigiste
Guillemot,Hervé,Journaliste honoraire,Ex RFI
Guillomon,Victoria,Journaliste et auteure,Nouvel Œil
Guillon,Noëlle,Journaliste scientifique indépendante,"Pour la Science, Futura, Que Choisir, Parresia"
Guillonneau,Clément,Étudiant en école de journalisme,École de Journalisme de Cannes
Guilyardi,Catherine,Journaliste auteur « Que feriez vous si vous saviez ? »,Éditions Le Pommier
Guin,Alexandre,Journaliste,France 2
Guirec,Flécher,Journaliste,Le Télégramme
Guitton,Théo,Journaliste stagiaire,Fréquence Sillé
Guiyanbe Vawandi,L’urgence Écologique Est Un Fléau Mondiale D’où Le Monde Du 21e Siècle Et Entraîne De Subir.le Climat Nous Compliqué La Situation Vie .ici Au Tchad Nous Avions Enregistrer Une Grande Taux De Pluie Qui À Cause De Nombreuses Inondations Dans La Ville.amis Aujourd’hui Il Fait Fait Énormément Chaud.le Dérèglement Climatique Met L’univers En Difficulté.l’urgenc Écologique Nécessité Une Réunion D’urgence De Grande Puissance.,Étudiant en communication L3,Campus plume
Gutierrez C.,Nicolas,Journaliste scientifique,Journaliste indépendant
Guyonnet,Paul,Journaliste,Le HuffPost
Haas,Hugo,Journaliste environnement et ingénieur spécialisé en énergie,Indépendant et Observatoires des énergies renouvelables
Hadjadji,Nastasia,Journaliste indépendante,
Hainaut,Julie,Journaliste indépendante,Journaliste indépendante
Halliez,Juliette,Journaliste vidéo,Le Parisien
Haltz,Adele,Journaliste réalisatrice,Variable
Hameau,Thierry,Reporter,Ouest-France
Hamelin,Julien,Journaliste,Independant
Haméon,Julie,journaliste,Pigiste
Handweiler,Valérie,Journaliste,indépendante
Handyside,Gillian,Journaliste,AFP
Hanyu,Noriko,Journaliste indépendante,
Hardoy,Matthias,Rédacteur spécialisé,
Hauraix,Samuel,Journaliste,Indépendant
Havard,Anne-Lise,Journaliste réalisatrice,Indépendante
Hazard,Camille,Journaliste,Paris Match
Hebbache,Loïc,Journaliste,Free-lance
Hecht,Richard,journaliste honoraire,journaliste honoraire
Heimburger,Florence,Journaliste,"Curieux.live, Top Santé, Vital, Rue89 Bordeaux"
Helain,Elisa,Journaliste – Realisatrice,Je suis free lance
Hélénon,Camille,Journaliste et documentaliste,Indépendante (pigiste)
Hemar,Sophie,Journaliste reporter d’images,France 3 Bourgogne
Hénaut,Frédérique,adjointe service société France 2 France 3,France Télévisions
Hendrikx,Laura,Journaliste,60 millions de consommateurs
Henin-Tranvouez,Jean-Philippe,Rédacteur en chef,France 3 Bourgogne
Hennequin,Julien,Journaliste,Indépendant
Henry-Castelbou,Anne,Journaliste,Radio RCF
Heraud,Béatrice,journaliste,pigiste
Herin,Laurent,Pigiste,Corse Matin
Herlem,Jordan,Journalistd indépendant,OPSR Média
Herman,Rachel,Journaliste,La Nouvelle République
Hermann,Luc,Président producteur,Premières Lignes
Hernandez,Valérie,Directrice de publication,LOKKO
Hertu,Elodie,Correspondante locale de presse,Indépendante
Hervier,Sébastien,Journaliste,Sud Ouest
Hervot,Charlotte,Journaliste,Pigiste
Hess,Virgilia,Journaliste météo,BFMTV
Hess-Fernandez,Gabriele,Journaliste scientifique – rédactrice en chef,Freelance – Arte -m
Hessabi,Elisa,Etudiante,École de Journalisme de Cannes
Hiard,Florent,Journaliste,La Côte (Suisse)
Hilssone Lévy,Virginie,Journaliste et présentatrice météo,Radio france / BFM TV
Hirsch,Didier,Photographe,Hortus-focus
Ho Hoa,Julie,journaliste,La Montagne Centre France
Holubowicz,Gerald,Chef de produit,indépendant
Horizon(s),Nan,,"Horizon(s), le mag local écologique et social"
Hosatte,Jean-Marie,"Photo reporter, journaliste","Gamma, Rea, Leemage"
Hosebian-Vartanian,Sevan,Journaliste,L’Impartial de la Drôme
Hossa,Delphine,Journaliste,Bayard Service
Houcine,Margaux,Journaliste,indépendante
Houot,Géraldine,Journaliste,"Observatoire des énergies renouvelables, La maison écologique, La Croix"
Houssais,Sylvie,Éditrice et directrice de publication,L’APT magazine & numérique
Huard,Jean-Sébastien,journaliste,Virgin Radio Régions
Hubert,Justine,Étudiante en journalisme – futur journaliste,École IICP
Hubinet,Nina,Journaliste,indépendante
Huby,Chris,Journaliste,"Freelance / Arte – France 24 – Le point – Guardian, etc"
Huet,Grégoire,Journaliste,Indépendant
Hufnagel,Frédérik,Rédacteur en chef,AirZen Radio
Humeau,Bernadette,Journaliste,RCF
Humeco,(media),Media,Organisation
Hunsinger,Véronique,rédactrice en chef adjointe,Le Quotidien du médecin
Hurcy,Camille,étudiante en journalisme,IJBA
Idres,Romane,Journaliste,France Télévisions
Imatte,Hélène,Journaliste,Indépendante
Isnard-Dupuy,Pierre,Journaliste indépendant,Collectif Presse-Papiers
Issartel,Dominique,Grand reporter,L’Équipe
Jacob,Morgane,Journaliste,
Jacot Normand,Géraldine,"Cheffe de la rubrique Suisse, actualité TV",Radio Télévision Suisse
Jacq,Frédéric,Journaliste rédacteur,Le Télégramme
Jacquemard,Etienne,Journaliste – Rédacteur en chef adjo,France Tv
Jacques Le Seigneur,Vincent,Directeur de la rédaction,Observ’ER
Jacquinot,Olivier,Rédacteur pigiste,Divers titres
Jaglin,Maxime,Journaliste présentateur,France 3 Pays de la Loire
Jambot,Steven,Journaliste,RFI
Jamet,Marie,Journaliste,Euronews
Jannic-Cherbonnel,Fabien,Journaliste,Franceinfo.fr
Jannin,Blandine,Journaliste,RCF Bordeaux
Jaussent,Violaine,Journaliste,Franceinfo.fr
Jeanneau,Laurent,Dir de la rédaction,Alternatives Economiques
Jédor,Sébastien,Journaliste,RFI Radio France Internationale
Jehanno,Emilie,Journaliste,20 Minutes
Joanin,Victor,Redacteur-reporter,RMC
Joly,Guillaume,Rédacteur en chef,Les Horizons
Joly,Alexandre,Responsable du Pôle Energie,Carbone 4
Jones-Gorlin,Noé,Étudiant,Aucun
Joseph,Marion,Rédactrice en chef,Astrapi (Bayard Presse)
Josse,Guillaume,Directeur de la publication,Futura
Joubeau,Antoine,Journaliste,France Télévisions
Joubert,Alexandre,Chef d’entreprise,Baeta Labs
Jourdan,Camille,Journaliste,Pigiste
Jouve,Charlotte,Co-fondatrice,Toasty
Joyeux,Benjamin,Journaliste indépendant,"Librinfo, Heidi News…"
Kabuyaya,Ismaël,Journaliste,congo-uni.com
Kalioris,Dimitri,Journaliste,Hortus Focus
Kalouguine,Tatiana,Directrice pédagogique,École des métiers de l’information (ÉMI)
Kanté,Vinz,Journaliste,LIMIT MEDIA – RTBF
Karaiskos,Isabelle,Journaliste,Pigiste
Kawanda,Badylon,Journaliste Rédacteur en chef,www.newsblogworld.info
Kerfa,Linda,Journaliste,M6
Kerinec,Moran,Journaliste,Pigiste
Kerléo,Anne,Journaliste – Rédactrice en chef écologie,RCF
Khayat,Raphaël,Journaliste radio,Maritima Médias
Khosla,Oscar,Journaliste apprenti,Babel Doc – CFJ
Khosrovchahi,Ariane,Journaliste,Citywire
Kiennemann,Lise,Etudiante en journalisme,École de journalisme de Sciences Po
Kiezer,Willy,Journaliste indépendant,Ni Bu Ni Connu
Klaus,Enrique,Maître de conférences,Ecole de journalisme de Cannes
Kloetzli,Sophie,Journaliste indépendante,"Usbek & Rica, Socialter"
Koch,Marjolaine,journaliste,Membre du collectif de presse Extra Muros
Konitz,Jonathan,Journaliste,Pigiste
Körösi,Suzanne,réalisatrice de films documentaire,Les films du réveil
Kouchner,Alexandre,Rédacteur en chef,L’ADN – Le Shift
Kovacs,Émilie,Rédactrice en chef,TheGood.fr
Kpogodo,Minsaily,Directeur de Publication,Le Mutateur
Kuassi,Inès,Directrice,Planète Terre à Terre Tv
Kubicki,Morgane,Rédactrice en cheffe,Financité magazine
L’esprit,Libre,Organisme à but non lucratif,L’Esprit libre
La Blanche,Eric,journaliste auteur scénariste,Éditions Michel Lafon – Éditions le Lombard – Éditions First – Éditions Delachaux & Niestlé
La Maison Écologique,La Maison Écologique,Bimestriel de l’éconstruction,La Maison écologique
Laberenne,Lucas,Journaliste,Le Républicain d’Uzès
Laboucarie,Sandra,Journaliste presse jeunesse,pigiste
Labrousse,Camille,Journaliste reporter,France Bleu Vaucluse
Lacroix,Lydie,Journaliste-rédactrice (content manager),Parlons RH
Lacroix,Jean François,Red chef – fondateur,OFFTRACK MAGAZINE
Lacroux,Margaux,Journaliste,Libération
Laemmel,Christian,Grand reporter,France 3 Alsace
Lafaurie,Lise,Journaliste pigiste,"Doctissimo, Santé Magazine, Medisite"
Lafon,Cathy,Journaliste Chef du service Documenation,Sud Ouest
Lagorce,Bertille,Journaliste,AFP
Laison,Fanny,Journaliste,Indépendante
Lalli,Audrey,Pigiste,Télévision
Lallouët-Geffroy,Julie,journaliste,
Lambert,Olivier,Auteur-Réalisateur-Producteur,Lumento
Lambin,Emilie,Journaliste,Indépendante
Lamiable,Christine,Rédactrice,Pigiste
Lamothe-Simon,Marie,Étudiante,UQÀM
Lamoureux,Marine,Cheffe de rubrique environnement,La Croix
Lancien,Olivier,Journaliste,Guadeloupe
Landais-Barrau,Pauline,Journaliste,CNEWS
Lang,Dominique,Journaliste SGR,LE PELERIN
Lang,Céline,Journaliste,France 3 Grand Est
Lang-Roth,Cédric,Rédacteur en chef,France Bleu Normandie (Seine-Maritime et Eure)
Lanier,Thomas,"Journaliste editeur et redacteur web, social manager, producteur radio","Le Dauphiné Libéré, RCF"
Lannoy,Jean,Journaliste,1RCF Belgique
Lanté,Agathe,journaliste réalisatrice,independante
Laouamen,Marion,Correspondante TF1 en Inde et en Asie,TF1
Laperche,Dorothée,journaliste,Actu-Environnement
Lapierre,Philippe,Journaliste,Radio SCOOP
Laquerre,Jeannette,Journaliste,Okapi (groupe bayard)
Laramée De Tannenberg,Valéry,Rédacteur en chef,L’Usine à GES
Laromiguière,Oriane,Journaliste,indépendante
Larvor,Loeiza,Journaliste,Journaliste pigiste
Lasota,Julien,photographe,Agence Hans Lucas
Launay,François,Journaliste,Indépendant
Laure,Verneau,Journaliste indépendante,"Le Monde afrique, RFI, AFP"
Laurence,Estival,Redac cheffe,RSE DATANEWS
Laurent,Anthony,Rédacteur en chef,Sciences Critiques
Laurent,Maxime,Étudiant,CFJ
Laurent,Maria,Secrétaire de rédaction,Okapi
Lautier,Nathan,Journaliste,
Laval,Florian,Directeur de la publication,Revue Far Ouest
Lavorel,Raphaëlle,Journaliste,
Layac,Carole,Journaliste pigiste / Enseignante,M6 / BFMTV / IJBA
Le Borgne,Brice,Journaliste,franceinfo.fr
Le Bot,Julien,"Journaliste, auteur-réalisateur et responsable innovation",Samsa.fr + Indépendant
Le Braz,Eric,"Journaliste, formateur,","Podcast A la vie, à la mort"
